Pregunta,a,b,c,d,RespuestaCorrecta,RetroalimentacionCorrecta,RetroalimentacionIncorrecta,CarpetaRetroalimentacion
": F_7.jpg","a) 1B, 2C, 3A, 4D","b) 1D, 2A, 3C, 4B","c) 1B, 2A, 3D, 4C","d) 1B, 2C, 3A, 4D","c","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_7"
": F_5.jpg","a) 9810 √3","b) 4905","c) 4905 √3","d) 9810","d","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_5"
": F_6.jpg","a) 1B, 2C, 3A, 4D","b) 1D, 2A, 3C, 4B","c) 1B, 2A, 3C, 4D","d) 1B, 2C, 3A, 4B","c","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Realiza la retroalimentación.","RF_6"
": F_3.jpg","a) 100","b) 50","c) 10","d) 20","c","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_3"
": F_2.jpg","a) 10 N","b) 196 N","c) 98 N","d) 49 N","c","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_2"
": F_9.jpg","a) 1B, 2C, 3A, 4D","b) 1D, 2A, 3C, 4B","c) 1B, 2A, 3D, 4C","d) 1B, 2C, 3A, 4D","b","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_9"
": F_8.jpg","a) 1B, 2C, 3A, 4D","b) 1D, 2A, 3C, 4B","c) 1B, 2A, 3D, 4C","d) 1B, 2C, 3A, 4D","c","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_8"
": F_10.jpg","a) C","b) A","c) B","d) D","b","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_10"
": F_4.jpg","a) 9810 √3","b) 4905","c) 4905 √3","d) 9810","a","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_4"
": F_1.jpg","a) m,ms,ms²","b) m, m/s,m/s³","c) m/s,m,ms","d) m,ms,ms³","d","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_1"

