Reactivos de Física (Guía 2023)
"Pregunta","a)","b)","c)","d)","Respuesta Correcta","Retroalimentación Correcta","Retroalimentación Incorrecta","Carpeta de Retroalimentación"
": F_23.jpg","a)   943 Pa","b)  1943 Pa","c)  2943 Pa","d)  3943 Pa","a","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_23"
": F_33.jpg","a)  A2,B3,C4,D1","b)  A1,B2,C3,D4","c)  A2,B4,C3,D1","d)  A1,B3,C4,D2 ","a","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_33 "
": F_19.jpg","a)  1A, 2B, 3C, 4D","b)  1B, 2B, 3C, 4A","c)  1D, 2A, 3B, 4C","d)  1D, 2C, 3B, 4A ","c","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_19"
": F_7.jpg","a)  1B, 2C, 3A, 4D  ","b)  1D, 2A, 3C, 4B  ","c)  1B, 2A, 3D, 4C  ","d)  1B, 2C, 3A, 4D  ","c","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_7"
": F_21.jpg","a)  32  N","b)  6.4 N","c)  64  N","d)  0.1 N","b","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_21"
": F_27.jpg","a)  2","b)  1","c)  3","d)  4","c","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_27 "
": F_35.jpg","a)  1","b)  2","c)  3","d)  4 ","c","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_35 "
": F_13.jpg","a)  B ","b)  C ","c)  D ","d)  A ","d","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_13"
": F_3.jpg","a) 100","b) 50","c) 10","d) 20","c","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisala retroalimentación.","RF_3"
": F_18.jpg","a)  200 N ","b)  100 N ","c)  250 N ","d)  150 N ","c","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_18"
": F_29.jpg","a)  2","b)  1","c)  3","d)  4","a","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_29"
": F_10.jpg","a)  C ","b)  A ","c)  B ","d)  D ","b","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_10"
": F_32.jpg","a)  259.2     GJ","b)  2592      mJ","c)  2592       J","d)  2592      kJ","d","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_32 "
": F_24.jpg","a)  1","b)  2","c)  3","d)  4","b","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_24 "
": F_9.jpg","a)  1B, 2C, 3A, 4D  ","b)  1D, 2A, 3C, 4B  ","c)  1B, 2A, 3D, 4C  ","d)  1B, 2C, 3A, 4D ","b","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_9"
": F_15.jpg","a)  2 s","b)  4 s ","c)  1 s ","d)  3 s ","a","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_15"
": F_5.jpg","a) 9810 √3","b) 4905","c) 4905 √3","d) 9810 ","d","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_5"
": F_12.jpg","a)  D ","b)  C ","c)  B ","d)  A ","a","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_12"
": F_30.jpg","a)  2","b)  1","c)  3","d)  4","b","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la Retroalimentación.","RF_30 "
": F_4.jpg","a) 9810 √3","b) 4905","c) 4905 √3","d) 9810 ","a","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_4"
": F_16.jpg","a)  19.62 m/s","b)   9.81 m/s ","c)  4.905 m/s ","d)  14.71 m/s ","a","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_16"
": F_26.jpg","a)  1 y 2","b)  1 y 3","c)  1 y 4","d)  Todas son diferentes","c","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_26 "
": F_31.jpg","a)  120 Ω","b)  12  kΩ","c)  120 kΩ","d)  1.2 kΩ","c","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_31 "
": F_2.jpg","a) 10 N","b) 196 N","c) 98 N","d) 49 N","c","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_2"
": F_28.jpg","a)  2","b)  1","c)  3","d)  4","d","Correcto! Has seleccionado la opción adecuada.","Incorrecto. revisa la retroalimentación.","RF_28 "
": F_25.jpg","a)  1D,2A,3C,4B","b)  1A,2C,3B,4D","c)  1B,2A,3C,4B","d)  1C,2A,3D,4B","a","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_25 "
": F_22.jpg","a)   943 Pa","b)  1943 Pa","c)  2943 Pa","d)  3943 Pa","c","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_22"
": F_11.jpg","a)  C ","b)  A ","c)  B ","d)  D ","c","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_11"
": F_8.jpg","a)  1B, 2C, 3A, 4D  ","b)  1D, 2A, 3C, 4B  ","c)  1B, 2A, 3D, 4C  ","d)  1B, 2C, 3A, 4D ","c","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_8"
": F_34.jpg","a)  1","b)  2","c)  3","d)  4 ","b","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Realiza la retroalimentación.","RF_34 "
": F_14.jpg","a)  1.5 veces ","b)  2.0 veces ","c)  2.5 veces ","d)  4.0 veces ","d","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_14"
": F_6.jpg","a)  1B, 2C, 3A, 4D  ","b)  1D, 2A, 3C, 4B  ","c)  1B, 2A, 3C, 4D  ","d)  1B, 2C, 3A, 4B  ","c","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Realiza la retroalimentación.","RF_6"
": F_36.jpg","a)  1","b)  2","c)  3","d)  4 ","d","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_36 "
": F_17.jpg","a)  19.62 m/s","b)   9.81 m/s ","c)  4.905 m/s ","d)  14.71 m/s ","a","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_17"
": F_1.jpg","a)  m,ms,ms²","b)  m, m/s,m/s³ ","c)  m/s,m,ms","d)  m,ms,ms³","d","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_1"
": F_20.jpg","a)  0.5 m/s","b)  1.0 m/s","c)  0.2 m/s","d)  0.4 m/s","d","Correcto! Has seleccionado la opción adecuada.","Incorrecto. Revisa la retroalimentación.","RF_20"
