Pregunta,a),b),c),d),Respuesta Correcta
¿Cuál es la capital de Francia?,Londres,Berlín,Madrid,París,d
¿Cuál es el planeta más cercano al sol?,Tierra,Marte,Mercurio,Venus,c
¿En qué año empezó la Segunda Guerra Mundial?,1939,1945,1914,1929,a
¿Quién escribió 'Don Quijote de la Mancha'?,Miguel de Cervantes,William Shakespeare,Garcilaso de la Vega,Lope de Vega,a
¿Cuál es el símbolo químico del agua?,O2,H2O,CO2,N2O,b
¿En qué continente está Egipto?,Asia,América,Europa,África,d
¿Cuántos lados tiene un hexágono?,4,5,6,7,c
¿Quién pintó la Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,c
¿Cuál es el animal terrestre más rápido?,Elefante,Caballo,Guepardo,León,c
¿Quién fue el primer hombre en la luna?,Yuri Gagarin,Neil Armstrong,Buzz Aldrin,Michael Collins,b

